Customer_ID,Credit_Utilization_Ratio,Debt_to_Income_Ratio,Loan_Purpose,Default_Status,Payment_History,Employment_Status,Income_Details,Previous_Loans,Loan_Amount,Term_Length(months),Demographic_Data,Age
CUST_00001,0.44,0.81,Auto,No,724.8357077,Self-Employed,6301360,2,684999,24,Urban,25
CUST_00002,0.96,0.73,Personal,No,,Employed,2634337,2,1897214,60,Suburban,39
CUST_00003,0.76,0.43,Business,No,1098.57664,Employed,4756232,1,1903937,12,Urban,42
CUST_00004,0.64,1.25,Business,No,776.1514928,Unemployed,4123191,4,1239688,12,Rural,39
CUST_00005,0.24,1.01,Education,No,688.2923313,Employed,3957938,1,564151,24,Urban,32
CUST_00006,0.24,1.74,Home,No,688.2931522,Unemployed,6235790,1,793978,24,Rural,36
CUST_00007,0.15,0.16,Education,No,778.9606408,,,0,1513422,60,Suburban,38
CUST_00008,0.88,1.32,Home,Yes,738.3717365,Employed,5567225,2,1725155,48,Urban,39
CUST_00009,0.64,1.55,Education,Yes,676.5262807,Employed,1723827,2,1852809,24,Rural,58
CUST_00010,0.74,1.54,Education,Yes,727.1280022,Self-Employed,3662209,4,615113,24,Urban,39
CUST_00011,0.12,1.78,Business,No,676.8291154,Employed,4606998,0,1547618,12,Rural,21
CUST_00012,0.97,1.49,Home,No,676.7135123,Employed,2932556,4,,,Urban,58
CUST_00013,0.85,1.86,Auto,No,712.0981136,Employed,7308731,6,1466029,12,Rural,33
CUST_00014,0.29,0.73,Auto,No,604.3359878,Self-Employed,3672003,2,1139839,60,Urban,35
CUST_00015,0.26,,Education,No,613.7541084,Unemployed,3571905,,1382282,12,Urban,24
CUST_00016,0.27,0.13,,No,671.8856235,Self-Employed,3701468,1,3605686,36,Suburban,27
CUST_00017,0.37,0.11,Business,Yes,649.358444,Employed,5291665,1,2845240,12,Suburban,23
CUST_00018,0.57,0.56,Home,No,,Student,5694713,2,2194271,48,Rural,40
CUST_00019,0.49,0.29,Education,No,654.5987962,Employed,4019441,2,2178750,60,Rural,65
CUST_00020,0.36,0.59,Auto,No,629.3848149,Self-Employed,14877667,1,1343604,12,Urban,30
CUST_00021,0.65,0.44,Home,Yes,773.2824384,Self-Employed,5056111,2,1439386,24,Rural,37
CUST_00022,0.23,,Education,Yes,688.711185,Retired,2770623,1,362461,36,Suburban,44
CUST_00023,0.36,1.83,Home,No,703.3764102,Student,4416762,1,635697,12,Rural,33
CUST_00024,0.43,0.12,Business,No,628.7625907,Self-Employed,3779986,5,1319451,60,Suburban,13
