Customer_ID,Credit_Utilization_Ratio,Debt_to_Income_Ratio,Loan_Purpose,Default_Status
CUST_00001,0.44,0.81,Auto,No
CUST_00002,0.96,0.73,Personal,No
CUST_00003,0.76,0.43,Business,No
CUST_00004,0.64,1.25,Business,No
CUST_00005,0.24,1.01,Education,No
CUST_00006,0.24,1.74,Home,No
CUST_00007,0.15,0.16,Education,No
CUST_00008,0.88,1.32,Home,Yes
CUST_00009,0.64,1.55,Education,Yes
CUST_00010,0.74,1.54,Education,Yes
CUST_00011,0.12,1.78,Business,No
CUST_00012,0.97,1.49,Home,No
CUST_00013,0.85,1.86,Auto,No
CUST_00014,0.29,0.73,Auto,No
CUST_00015,0.26,,Education,No
CUST_00016,0.27,0.13,,No
CUST_00017,0.37,0.11,Business,Yes
CUST_00018,0.57,0.56,Home,No
CUST_00019,0.49,0.29,Education,No
CUST_00020,0.36,0.59,Auto,No
CUST_00021,0.65,0.44,Home,Yes
CUST_00022,0.23,,Education,Yes
CUST_00023,0.36,1.83,Home,No
CUST_00024,0.43,0.12,Business,No
CUST_00025,0.51,1.5,Auto,No
CUST_00026,0.81,0.39,Home,No
CUST_00027,0.28,1.83,Auto,No
CUST_00028,0.56,1.8,Education,No
CUST_00029,0.63,1.34,Personal,No
CUST_00030,0.14,,Home,No
CUST_00031,0.65,,Auto,Yes
CUST_00032,0.25,1.97,Home,No
CUST_00033,0.16,1.77,Education,No
CUST_00034,0.95,1.8,Education,No
CUST_00035,0.97,1.35,Auto,Yes
CUST_00036,0.83,0.76,Business,No
CUST_00037,0.37,1.8,Home,No
CUST_00038,0.19,0.65,Home,No
CUST_00039,0.72,1.17,Education,No
CUST_00040,0.5,0.29,Home,No
CUST_00041,0.21,1.85,Auto,No
CUST_00042,1.774855689,0.37,,No
CUST_00043,0.13,0.53,Education,No
CUST_00044,0.92,1.16,Personal,Yes
CUST_00045,0.33,1.55,Home,No
CUST_00046,0.7,1.28,Business,No
CUST_00047,2.589286668,0.54,Auto,Yes
CUST_00048,0.57,0.1,Home,No
CUST_00049,,1.54,Auto,No
CUST_00050,0.27,1.97,,No
CUST_00051,0.97,1.64,,No
CUST_00052,0.8,0.97,Home,No
CUST_00053,0.95,1.82,Education,No
CUST_00054,0.91,0.88,Personal,No
CUST_00055,0.64,1.1,Business,No
CUST_00056,0.93,1.01,Personal,No
CUST_00057,0.18,0.95,Personal,Yes
CUST_00058,0.28,1.57,Auto,No
CUST_00059,0.14,1.1,Education,No
CUST_00060,0.39,0.7,Education,Yes
CUST_00061,0.45,0.59,Home,No
CUST_00062,0.34,0.17,,Yes
CUST_00063,0.85,1.21,Business,No
CUST_00064,0.42,0.54,Auto,No
CUST_00065,0.35,0.38,Education,Yes
CUST_00066,0.59,1.34,Home,No
CUST_00067,0.23,1.39,Business,No
CUST_00068,0.82,1.53,Personal,Yes
CUST_00069,0.17,1.06,Business,No
CUST_00070,0.99,1.8,Education,No
CUST_00071,0.8,1.88,Auto,No
CUST_00072,0.28,1.63,Personal,No
CUST_00073,0.1,1.31,Auto,No
CUST_00074,0.83,0.68,Business,Yes
CUST_00075,0.74,1.97,Business,No
CUST_00076,0.76,0.62,Home,No
CUST_00077,0.79,0.49,,No
CUST_00078,0.17,0.94,Business,No
CUST_00079,0.42,0.21,Education,No
CUST_00080,0.2,1.96,Education,No
CUST_00081,0.88,1.22,Auto,No
CUST_00082,0.66,1.16,Education,No
CUST_00083,0.4,1.35,Business,No
CUST_00084,0.16,1.04,Education,No
CUST_00085,0.38,0.16,Personal,No
CUST_00086,0.39,1.26,Auto,No
CUST_00087,0.76,1.46,Personal,No
CUST_00088,3.218817581,0.89,Business,No
CUST_00089,,1.54,Business,No
CUST_00090,0.52,0.53,Education,No
CUST_00091,0.21,0.52,Home,Yes
CUST_00092,0.74,0.41,Home,No
CUST_00093,0.78,,Business,No
CUST_00094,0.61,1.71,Business,Yes
CUST_00095,0.79,1.67,Auto,No
CUST_00096,0.54,0.83,Business,Yes
